category_id,category_code
2053013566033757167,appliances.ironing_board
2053013566100866035,appliances.sewing_machine
2053013566142809077,construction.tools.generator
2053013566176363511,appliances.iron
2053013566209917945,accessories.bag
2053013566243472379,accessories.wallet
2053013566277026813,apparel.belt
2053013566344134657,accessories.bag
2053013566377689091,apparel.underwear
2053013566453186567,apparel.shoes
2053013566478352393,apparel.underwear
2053013566503518219,sport.trainer
2053013566537072653,kids.swing
2053013566562238479,apparel.jeans
2053013566587404305,apparel.jeans
2055156895844401457,apparel.trousers
2055156910180532997,apparel.skirt
2055156924273394455,apparel.skirt
2055156924315337497,apparel.trousers
2055156924407612189,accessories.bag
2055156924466332447,apparel.jeans
2055909009252155819,apparel.trousers
2055909011886178857,apparel.trousers
2058719826188173878,apparel.glove
2058719829233238746,apparel.glove
2059484387635888645,apparel.jacket
2059484599339188409,apparel.jacket
2059484599372742843,apparel.shirt
2059484599414685885,apparel.jacket
2059484599456628927,apparel.shirt
2059484599498571969,furniture.kitchen.table
2059484601444729123,apparel.shirt
2059484601981600061,country_yard.furniture.hammok
2059484602015154495,country_yard.furniture.bench
2059484602140983621,apparel.shirt
2059484602216481097,apparel.shirt
2060237588744111062,sport.trainer
2060237591176806498,apparel.jacket
2060981320481243178,furniture.living_room.shelving
2060981320514797612,furniture.living_room.shelving
2060981320581906480,apparel.trousers
2061717931909186006,computers.peripherals.printer
2061717937420501730,furniture.living_room.shelving
2061717948367634684,furniture.living_room.shelving
2061717948468297988,computers.components.sound_card
2061717948493463814,computers.peripherals.printer
2062461739429003880,furniture.bedroom.pillow
2062461754293617058,computers.peripherals.printer
2069241396576911678,furniture.bedroom.pillow
2069241407767315312,apparel.scarf
2069241409453425602,appliances.kitchen.grill
2070004992093193064,apparel.shoes
2070005009256284935,apparel.jacket
2070005009340171019,apparel.underwear
2070005009382114061,apparel.underwear
2070747673266226092,kids.toys
2070747685681365440,furniture.bedroom.bed
2071490004441367490,apparel.sock
2073725967779496307,apparel.shoes.step_ins
2074462942123786261,kids.toys
2075962323838697472,kids.skates
2075962341748376288,apparel.shirt
2076715364204413467,apparel.shorts
2076715364237967901,apparel.shorts
2076715364279910943,appliances.environment.air_conditioner
2077453854185620383,appliances.kitchen.toster
2078957452602114300,auto.accessories.light
2078957452635668734,kids.fmcg.diapers
2078957459430441624,apparel.shoes
2078957461947024180,apparel.tshirt
2079713978400899337,furniture.living_room.cabinet
2079713978711277851,apparel.shoes
2079713979038433581,apparel.shoes
2080463777718862211,construction.tools.welding
2084962303446352569,construction.tools.welding
2084962304016777941,apparel.costume
2085718362939196049,construction.tools.screw
2085718636156158307,construction.tools.saw
2086471233100054624,sport.tennis
2086471240800797129,apparel.trousers
2086471240842740173,apparel.shirt
2088750570935419494,construction.tools.painting
2090228413380952337,apparel.underwear
2090971680431145002,apparel.trousers
2090971680481476652,furniture.living_room.shelving
2090971686529663114,appliances.environment.vacuum
2091727623985037543,apparel.sock
2091727629378912491,construction.tools.axe
2094006184079000416,apparel.sock
2094006249627582860,accessories.umbrella
2095518917320508073,construction.tools.axe
2095518921321874323,furniture.living_room.cabinet
2096280510920655375,construction.tools.saw
2096280538292683405,appliances.kitchen.kettle
2097045743373123623,auto.accessories.light
2097815709164765207,apparel.tshirt
2097815753423061045,apparel.tshirt
2098563440799908223,apparel.glove
2098563448148329133,appliances.kitchen.washer
2098563450757186313,construction.tools.light
2098563460336976001,construction.tools.pump
2100064855133258156,apparel.shoes
2100064858975240628,furniture.kitchen.table
2100065080828756704,auto.accessories.winch
2100825582450246168,apparel.jeans
2100825583029060150,apparel.jeans
2102305809651204547,appliances.kitchen.dishwasher
2105319817211805903,apparel.jacket
2106075662325383725,kids.swing
2109094148110811752,computers.notebook
2109094161893294334,apparel.costume
2110187392055903187,apparel.shorts
2110187395394568257,appliances.kitchen.refrigerators
2110187395688169553,apparel.skirt
2110187395721723987,apparel.costume
2110187395788832855,apparel.shirt
2110937076030505011,furniture.bathroom.bath
2110937143172923797,construction.tools.light
2110937189033444097,accessories.bag
2110937217663763331,apparel.jacket
2110937218225800069,apparel.dress
2110937219005940617,apparel.trousers
2110937219442148235,computers.components.cdrw
2110937221648352149,apparel.trousers
2110937223082804123,furniture.living_room.cabinet
2112418206617437044,apparel.jacket
2113934850560885372,apparel.shoes.keds
2116907507795361987,furniture.bedroom.bed
2116907518801216297,apparel.glove
2116907519078040377,apparel.shoes
2116907523062628369,apparel.dress
2116907524262199379,apparel.shoes
2116907524295753813,apparel.shoes.keds
2116907524337696855,apparel.shoes.keds
2116907524379639897,apparel.shoes
2116907524488691805,apparel.shoes.keds
2116907524530634847,apparel.shoes
2116907524572577889,apparel.shoes
2116907525143003265,sport.bicycle
2116907525176557699,sport.bicycle
2116907525235277959,sport.bicycle
2119910569631810087,sport.trainer
2125175570022007765,apparel.glove
2126679654801604876,accessories.bag
2127424806855902066,electronics.audio.dictaphone
2127424820051182462,apparel.sock
2127425375913902544,computers.notebook
2127425434894205468,construction.tools.painting
2127425436764865054,construction.tools.welding
2134904980736311929,electronics.clocks
2134904982346924669,electronics.clocks
2134905035589419799,computers.desktop
2134905044766557181,appliances.environment.vacuum
2134905044833666047,auto.accessories.compressor
2134905045102100487,furniture.kitchen.table
2134905045177597961,sport.tennis
2134905045253095435,sport.tennis
2135658542101693154,sport.snowboard
2135658542781170420,apparel.shoes
2135658543242543872,apparel.shoes
2135658545767514950,apparel.costume
2136389353511846005,apparel.shoes.sandals
2136389354015162499,apparel.shoes.sandals
2136935916512478049,appliances.kitchen.kettle
2137134548465484461,apparel.hat
2137134548792640183,apparel.shoes.moccasins
2137134549706998477,apparel.shoes.moccasins
2138568472580325973,sport.bicycle
2139150089359196199,accessories.bag
2139960757717042139,apparel.tshirt
2139960758153249767,apparel.underwear
2140665751265083408,apparel.shoes
2140784658734907686,apparel.shoes
2141355031935321056,stationery.cartrige
2141478496122176368,furniture.bathroom.bath
2141478614846144872,apparel.shoes
2144215503583839066,apparel.shoes
2144916515806248980,construction.tools.saw
2145039101303194425,sport.tennis
