brand,date,price
artel,2019-10-22,1253221.78
artel,2019-10-23,1095445.96
artel,2019-10-24,1039988.64
artel,2019-10-25,1032766.64
artel,2019-10-26,1068246.93
artel,2019-10-27,1192884.2
artel,2019-10-28,1029345.94
artel,2019-10-29,1106255.05
artel,2019-10-30,1143995.3
artel,2019-10-31,1163945.96
artiny,2019-10-20,1372.02
arturia,2019-10-01,1369.44
arturia,2019-10-03,1716.25
arturia,2019-10-04,1029.75
arturia,2019-10-05,686.5
arturia,2019-10-06,1373.0
arturia,2019-10-07,1029.75
arturia,2019-10-08,343.25
arturia,2019-10-09,688.26
arturia,2019-10-11,1032.39
arturia,2019-10-13,688.26
arturia,2019-10-14,344.13
arturia,2019-10-16,344.13
arturia,2019-10-18,1376.52
arturia,2019-10-19,1032.39
arturia,2019-10-20,2753.04
arturia,2019-10-21,1032.39
arturia,2019-10-22,344.13
arturia,2019-10-23,344.13
arturia,2019-10-24,1720.65
arturia,2019-10-25,344.13
arturia,2019-10-26,344.13
arturia,2019-10-27,344.13
arturia,2019-10-28,2062.14
arturia,2019-10-29,1373.0
arturia,2019-10-31,1716.25
asus,2019-10-01,48557.06
asus,2019-10-02,37226.23
asus,2019-10-03,47140.45
asus,2019-10-04,45789.31
asus,2019-10-05,38404.78
asus,2019-10-06,40675.25
asus,2019-10-07,43970.59
asus,2019-10-08,36422.56
asus,2019-10-09,35524.07
asus,2019-10-10,45231.96
asus,2019-10-11,57862.1
asus,2019-10-12,59473.83
asus,2019-10-13,49216.14
asus,2019-10-14,48261.29
asus,2019-10-15,80342.23999999999
asus,2019-10-16,93926.89
asus,2019-10-17,101261.81
asus,2019-10-18,92732.22
asus,2019-10-19,52373.43
asus,2019-10-20,56701.71
asus,2019-10-21,61966.7
asus,2019-10-22,97391.67
asus,2019-10-23,65491.54
asus,2019-10-24,65789.62
asus,2019-10-25,40953.69
asus,2019-10-26,38782.0
asus,2019-10-27,42546.81
asus,2019-10-28,48954.92
asus,2019-10-29,47000.65
asus,2019-10-30,37598.69
asus,2019-10-31,49973.97
audac,2019-10-01,961.44
audac,2019-10-02,789.86
audac,2019-10-03,705.72
audac,2019-10-04,413.9
audac,2019-10-05,328.24
audac,2019-10-06,839.36
audac,2019-10-07,782.37
audac,2019-10-08,388.05
audac,2019-10-09,241.96
audac,2019-10-10,669.12
audac,2019-10-11,1060.13
audac,2019-10-12,626.2
audac,2019-10-13,1044.53
audac,2019-10-14,904.58
audac,2019-10-15,1657.66
audac,2019-10-16,1137.31
audac,2019-10-17,1364.66
audac,2019-10-18,830.39
audac,2019-10-19,788.64
